Angle,NE_Raw_1,NE_Needle_1,NE_Rod_1,NE_Small_Square_1,NE_Raw_2,NE_Needle_2,NE_Rod_2,NE_Small_Square_2
3.44591,0.019893899,0.231788079,0.099099099,0.236749117,0.056485356,0.244274809,0.11509716,0.225941423
3.46562,0.031830239,0.311258278,0.099099099,0.303886926,0.042538354,0.27480916,0.146487294,0.217573222
3.48533,0.00795756,0.220750552,0.11036036,0.247349823,0.057880056,0.263358779,0.11509716,0.169456067
3.50503,0.026525199,0.249448124,0.111486486,0.286219081,0.059274756,0.286259542,0.12406577,0.221757322
3.52474,0.015915119,0.269315673,0.076576577,0.28975265,0.052998605,0.244274809,0.121076233,0.205020921
3.54444,0.019893899,0.280353201,0.072072072,0.286219081,0.052301255,0.259541985,0.091180867,0.184100418
3.56415,0.015915119,0.253863135,0.097972973,0.233215548,0.059972106,0.248091603,0.139013453,0.205020921
3.58386,0.015915119,0.282560706,0.081081081,0.293286219,0.047419805,0.248091603,0.100149477,0.194560669
3.60356,0.015915119,0.262693157,0.094594595,0.303886926,0.051603905,0.263358779,0.127055306,0.20083682
3.62327,0.025198939,0.27593819,0.105855856,0.282685512,0.048117155,0.312977099,0.136023916,0.223849372
3.64298,0.027851459,0.251655629,0.094594595,0.215547703,0.061366806,0.259541985,0.139013453,0.213389121
3.66268,0.014588859,0.231788079,0.100225225,0.240282686,0.057182706,0.297709924,0.137518685,0.182008368
3.68239,0.014588859,0.304635762,0.093468468,0.310954064,0.055090656,0.312977099,0.127055306,0.158995816
3.7021,0.018567639,0.284768212,0.092342342,0.296819788,0.053695955,0.236641221,0.144992526,0.211297071
3.7218,0.022546419,0.25607064,0.102477477,0.293286219,0.062064156,0.232824427,0.119581465,0.223849372
3.74151,0.015915119,0.344370861,0.094594595,0.254416961,0.052998605,0.267175573,0.134529148,0.205020921
3.76122,0.019893899,0.240618102,0.09009009,0.282685512,0.057182706,0.324427481,0.143497758,0.173640167
3.78092,0.015915119,0.242825607,0.101351351,0.254416961,0.049511855,0.236641221,0.10612855,0.20292887
3.80063,0.025198939,0.240618102,0.108108108,0.268551237,0.047419805,0.332061069,0.104633782,0.184100418
3.82034,0.013262599,0.251655629,0.105855856,0.282685512,0.070432357,0.263358779,0.103139013,0.209205021
3.84004,0.018567639,0.245033113,0.084459459,0.243816254,0.051603905,0.297709924,0.130044843,0.194560669
3.85975,0.018567639,0.284768212,0.106981982,0.243816254,0.051603905,0.282442748,0.12406577,0.194560669
3.87946,0.014588859,0.293598234,0.095720721,0.28975265,0.047419805,0.270992366,0.11509716,0.19665272
3.89916,0.018567639,0.225165563,0.078828829,0.201413428,0.047419805,0.27480916,0.122571001,0.219665272
3.91887,0.019893899,0.302428256,0.111486486,0.212014134,0.057880056,0.290076336,0.121076233,0.192468619
3.93857,0.025198939,0.220750552,0.092342342,0.296819788,0.055090656,0.209923664,0.136023916,0.188284519
3.95828,0.018567639,0.282560706,0.086711712,0.180212014,0.058577406,0.217557252,0.100149477,0.194560669
3.97799,0.017241379,0.249448124,0.087837838,0.296819788,0.043235704,0.248091603,0.110612855,0.205020921
3.99769,0.015915119,0.280353201,0.092342342,0.275618375,0.054393305,0.248091603,0.125560538,0.171548117
4.0174,0.021220159,0.273730684,0.084459459,0.219081272,0.057880056,0.286259542,0.136023916,0.20083682
4.03711,0.014588859,0.218543046,0.103603604,0.250883392,0.052998605,0.22519084,0.118086697,0.19874477
4.05681,0.00928382,0.238410596,0.074324324,0.261484099,0.046722455,0.297709924,0.118086697,0.144351464
4.07652,0.022546419,0.249448124,0.078828829,0.236749117,0.045327755,0.259541985,0.098654709,0.19874477
4.09623,0.014588859,0.247240618,0.087837838,0.243816254,0.057182706,0.29389313,0.100149477,0.186192469
4.11593,0.023872679,0.242825607,0.087837838,0.204946996,0.052301255,0.244274809,0.116591928,0.20083682
4.13564,0.021220159,0.27593819,0.09009009,0.201413428,0.041143654,0.263358779,0.128550075,0.194560669
4.15535,0.022546419,0.236203091,0.088963964,0.254416961,0.050209205,0.270992366,0.109118087,0.163179916
4.17505,0.018567639,0.267108168,0.070945946,0.201413428,0.050906555,0.229007634,0.113602392,0.190376569
4.19476,0.023872679,0.245033113,0.086711712,0.22614841,0.048117155,0.286259542,0.118086697,0.19874477
4.21447,0.018567639,0.247240618,0.096846847,0.286219081,0.056485356,0.259541985,0.098654709,0.219665272
4.23417,0.015915119,0.267108168,0.086711712,0.215547703,0.055788006,0.286259542,0.091180867,0.156903766
4.25388,0.021220159,0.333333333,0.073198198,0.268551237,0.044630404,0.286259542,0.144992526,0.175732218
4.27358,0.027851459,0.251655629,0.076576577,0.222614841,0.051603905,0.229007634,0.11509716,0.182008368
