Angle,NE_Small_Square_2
23.0933,0.133891213
23.113,0.10460251
23.1327,0.106694561
23.1524,0.112970711
23.1721,0.085774059
23.1918,0.054393305
23.2115,0.039748954
23.2312,0.064853556
23.2509,0.048117155
23.2707,0.046025105
23.2904,0.048117155
23.3101,0.046025105
23.3298,0.048117155
23.3495,0.054393305
23.3692,0.052301255
23.3889,0.069037657
23.4086,0.048117155
23.4283,0.056485356
23.448,0.048117155
23.4677,0.077405858
23.4874,0.064853556
23.5071,0.071129707
23.5268,0.050209205
23.5465,0.064853556
23.5662,0.064853556
23.586,0.154811715
23.6057,0.121338912
23.6254,0.119246862
23.6451,0.150627615
23.6648,0.112970711
23.6845,0.121338912
23.7042,0.077405858
23.7239,0.077405858
23.7436,0.075313808
23.7633,0.064853556
23.783,0.066945607
23.8027,0.062761506
23.8224,0.062761506
23.8421,0.085774059
23.8618,0.073221757
23.8816,0.066945607
23.9013,0.046025105
23.921,0.037656904
23.9407,0.035564854
23.9604,0.033472803
23.9801,0.039748954
23.9998,0.050209205
24.0195,0.066945607
24.0392,0.035564854
24.0589,0.066945607
24.0786,0.056485356
24.0983,0.069037657
24.118,0.064853556
24.1377,0.046025105
24.1574,0.071129707
24.1771,0.060669456
24.1969,0.062761506
24.2166,0.062761506
24.2363,0.058577406
24.256,0.066945607
24.2757,0.039748954
24.2954,0.054393305
24.3151,0.039748954
24.3348,0.031380753
24.3545,0.033472803
24.3742,0.041841004
24.3939,0.052301255
24.4136,0.058577406
24.4333,0.048117155
24.453,0.073221757
24.4727,0.056485356
24.4925,0.083682008
24.5122,0.09623431
24.5319,0.092050209
24.5516,0.081589958
24.5713,0.083682008
24.591,0.054393305
24.6107,0.069037657
24.6304,0.071129707
24.6501,0.066945607
24.6698,0.058577406
24.6895,0.085774059
24.7092,0.10041841
24.7289,0.092050209
24.7486,0.058577406
24.7683,0.054393305
24.7881,0.052301255
24.8078,0.058577406
24.8275,0.052301255
24.8472,0.037656904
24.8669,0.041841004
24.8866,0.037656904
